# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: compute-permanent-node-509
# Release : 3.10.0-1160.25.1.el7.x86_64
# Version : #1 SMP Tue Apr 27 15:52:10 PDT 2021
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 103.938533 
# Number of iterations (recorded+unrecorded): 1848268150 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
453731641.18	870.49
454731034.16	1191.30
455730447.13	853.50
456729872.09	841.50
457729281.06	836.51
458728680.03	873.48
459728087.00	853.50
460727513.96	842.50
461726924.93	833.51
462726329.90	840.50
463725740.87	842.50
464725139.85	841.50
465724544.82	848.50
466723961.78	861.49
467723362.76	851.50
468722775.72	943.44
469722196.69	859.49
470721609.65	3333.03
471721022.62	2724.39
472720411.60	2002.82
473719831.57	3051.20
474719214.55	2255.67
475718607.53	2257.66
476718023.50	895.47
477717474.44	3530.91
478716842.43	876.48
479716290.38	855.49
480715647.38	1046.38
481715068.34	872.48
482714482.31	888.47
483713901.27	857.49
484713296.25	2355.61
485712697.23	875.48
486712116.19	879.48
488710947.12	850.50
489710357.09	832.51
490709745.07	861.49
491709179.03	876.48
492708584.00	852.50
493707976.98	849.50
494707382.95	856.49
495706798.91	840.50
496706209.88	842.50
497705614.85	842.50
498705025.82	885.48
499704445.78	1192.29
500703856.75	851.50
501703268.72	854.49
502702679.69	851.50
503702084.66	837.50
504701494.63	854.49
505700892.61	866.49
506700313.57	850.50
507699734.53	1290.24
508699135.51	845.50
509698548.47	853.50
510697962.44	869.49
511697346.42	967.43
512696772.38	861.49
513696188.35	857.49
514695601.32	855.49
515694986.30	845.50
516694415.26	843.50
517693829.22	852.50
518693215.21	844.50
519692651.16	921.46
520692044.14	856.49
521691470.10	851.50
521692425.53	1277.24
522690862.08	880.48
523690283.04	885.48
524689682.02	864.49
525689089.99	839.50
526688492.96	879.48
527687915.92	864.49
528687336.88	1181.30
529686740.86	840.50
530686151.82	883.48
531685541.80	854.49
532684959.77	906.46
533684366.74	866.49
534683774.71	842.50
535683187.68	864.49
536682569.66	871.48
537681968.64	849.50
538681388.60	862.49
539680783.58	858.49
540680204.54	874.48
541679613.51	854.49
542679031.47	862.49
543678435.45	842.50
544677848.41	857.49
545677248.39	858.49
546676670.35	872.48
547676056.33	860.49
548675473.30	848.50
549674878.27	1191.30
550674303.23	849.50
552673129.16	867.49
553672530.14	869.49
554671943.11	864.49
555671336.09	860.49
556670757.05	838.50
557670165.02	878.48
558669586.98	852.50
559668980.96	859.49
560668382.93	873.48
561667798.90	869.49
562667211.86	862.49
563666616.84	862.49
564666020.81	863.49
565665453.76	850.50
566664860.73	854.49
568663664.68	843.50
570662489.62	966.43
571661901.58	865.49
572661309.55	845.50
573660717.52	863.49
574660143.48	848.50
575659532.47	885.48
576658959.42	854.49
577658369.39	836.51
578657775.36	848.50
579657180.34	845.50
580656585.31	1008.40
581655986.28	866.49
582655414.24	851.50
583654820.21	847.50
584654224.18	886.48
585653624.16	866.49
586653061.11	861.49
587652448.10	851.50
588651869.06	880.48
589651264.04	869.49
590650648.02	855.49
591650064.98	841.50
592649451.97	867.49
593648882.92	842.50
594648279.90	922.45
595647692.87	860.49
596647094.84	842.50
597646507.81	843.50
598645922.77	867.49
599645325.75	1168.31
600644745.71	857.49
601644148.68	847.50
602643550.66	845.50
603642959.63	857.49
606641208.52	879.48
607640616.49	834.51
608640033.46	844.50
609639421.44	876.48
610638831.41	853.50
611638243.38	838.50
612637651.35	853.50
613637078.30	849.50
614636473.28	850.50
615635894.24	865.49
616635301.22	866.49
617634708.19	855.49
619633538.12	846.50
620632936.09	1166.31
621632337.07	941.44
622631766.03	854.49
623631162.00	857.49
627628814.87	879.48
628628208.85	842.50
629627620.82	862.49
630627046.78	833.51
631626436.76	860.49
632625868.71	875.48
633625258.69	847.50
634624675.66	839.50
635624070.64	1223.28
636623498.60	849.50
637622889.58	856.49
638622314.54	836.51
639621720.51	856.49
640621117.48	863.49
641620550.44	866.49
642619945.42	849.50
643619309.41	856.49
644618739.37	863.49
645618130.35	846.50
646617548.31	841.50
647616960.28	860.49
648616363.26	867.49
649615773.22	1180.30
650615188.19	866.49
652614005.13	837.50
653613428.09	853.50
654612827.07	864.49
655612233.04	861.49
656611637.01	850.50
657611057.97	853.50
658610455.95	841.50
659609867.92	854.49
660609292.88	852.50
661608699.85	855.49
662608111.81	852.50
663607506.79	840.50
664606917.76	863.49
665606322.73	865.49
666605743.70	853.50
667605159.66	840.50
668604567.63	855.49
669603980.60	847.50
670603371.58	861.49
671602791.54	836.51
672602211.50	955.43
673601612.48	857.49
674601012.45	861.49
675600417.43	840.50
676599829.39	844.50
677599245.36	877.48
678598666.32	860.49
679598070.29	880.48
680597473.27	1000.41
681596874.24	869.49
682596311.19	864.49
683595705.17	866.49
684595105.15	847.50
685594522.11	860.49
686593927.08	865.49
687593360.04	859.49
688592761.01	839.50
689592169.98	872.48
690591582.95	856.49
691590979.93	859.49
692590400.89	844.50
693589805.86	849.50
694589210.83	841.50
695588635.79	833.51
696588023.77	843.50
697587451.73	845.50
698586853.71	833.51
699586215.70	1101.35
700585623.67	859.49
701585050.63	855.49
702584461.60	841.50
703583858.58	861.49
704583261.55	845.50
705582677.52	852.50
706582091.48	867.49
707581503.45	856.49
708580905.42	859.49
709580322.39	869.49
710579732.36	872.48
711579148.32	853.50
712578547.30	858.49
713577947.27	870.49
714577381.23	871.48
715576770.21	854.49
716576189.17	849.50
717575602.14	847.50
718575020.10	858.49
719574406.09	842.50
721573237.02	854.49
722572636.99	838.50
723572065.95	934.45
724571472.92	849.50
725570881.89	836.51
726570287.86	879.48
727569684.84	861.49
728569101.80	1294.23
729568508.78	856.49
730567933.74	863.49
731567330.71	838.50
732566753.67	833.51
733566149.65	860.49
734565568.61	867.49
735564971.59	862.49
736564377.56	839.50
737563786.53	855.49
738563213.49	866.49
739562608.46	871.48
740562035.42	845.50
741561424.40	859.49
742560846.37	848.50
743560251.34	872.48
744559665.31	857.49
745559065.28	867.49
746558474.25	868.49
747557884.22	855.49
748557310.18	850.50
749556716.15	1140.33
751555530.09	842.50
752554943.06	854.49
753554303.06	844.50
754553705.03	880.48
755553140.98	845.50
756552541.96	850.50
757551954.92	833.51
758551351.90	843.50
759550779.86	845.50
760550180.83	842.50
761549579.81	860.49
762548982.78	866.49
763548391.75	1221.28
764547820.71	854.49
765547237.67	889.47
766546626.66	887.48
767546042.62	843.50
768545455.59	859.49
769544849.57	844.50
770544277.53	885.48
771543677.50	1234.27
772543080.47	844.50
773542509.43	852.50
774541916.40	936.45
775541324.37	873.48
776540725.35	2785.35
777540130.32	3452.96
778539555.28	4185.52
779538958.25	4110.57
780538367.22	4472.36
781537772.19	4207.51
782537197.15	2300.64
783536607.12	2303.64
784536007.10	2350.61
785535412.07	2633.44
786534823.04	2463.54
787534236.00	2391.59
788533643.97	2398.58
788536146.49	1038.39
789533048.95	5015.03
790532467.91	2447.55
791531864.89	2151.73
792531273.86	3045.20
793530704.81	2977.24
794530097.79	2178.71
795529504.76	2124.74
796528913.73	3245.08
797528323.70	3436.97
798527738.67	2388.59
799527158.63	2556.49
800526573.59	2453.55
801525975.57	2517.51
802525331.57	2695.41
803524746.54	2104.76
804524157.50	2096.76
805523558.48	3426.97
806522990.43	2975.24
807522380.41	2100.76
808521792.38	2482.53
809521197.35	1960.84
810520612.32	880.48
811520036.28	2910.28
812519448.25	889.47
813518838.23	918.46
814518265.19	877.48
815517658.17	934.45
816517080.13	866.49
817516491.10	864.49
818515911.06	859.49
819515312.03	869.49
820514710.01	870.49
821514121.98	910.46
822513532.95	899.47
823512945.91	854.49
824512368.88	861.49
825511771.85	945.44
826511167.83	867.49
827510576.80	869.49
828509989.76	867.49
829509390.74	856.49
830508809.70	866.49
831508211.67	854.49
832507629.64	878.48
833507051.60	858.49
834506451.57	861.49
835505855.55	867.49
836505263.52	871.48
837504692.47	863.49
838504089.45	894.47
839503488.43	854.49
840502913.39	874.48
841502317.36	853.50
842501725.33	864.49
843501132.30	873.48
844500549.27	864.49
845499956.24	881.48
846499379.20	849.50
847498771.18	867.49
848498195.14	839.50
849497591.11	1214.28
850496995.09	1230.27
851496422.05	857.49
852495823.02	878.48
853495228.99	858.49
854494646.96	845.50
855494054.93	865.49
856493478.89	837.50
857492885.86	861.49
858492281.83	850.50
859491689.80	842.50
860491118.76	842.50
861490506.74	856.49
862489932.70	873.48
863489284.71	863.49
864488690.68	863.49
865488126.63	854.49
866487525.61	863.49
867486924.58	850.50
868486337.55	877.48
869485742.52	853.50
870485158.49	855.49
871484561.46	867.49
872483970.43	866.49
873483379.40	852.50
874482793.37	867.49
875482204.33	882.48
876481626.30	925.45
877481024.27	859.49
878480431.24	890.47
879479836.21	884.48
880479256.18	845.50
881478681.14	991.41
882478065.12	883.48
883477491.08	866.49
884476907.05	857.49
885476306.02	871.48
886475707.00	863.49
887475139.95	840.50
888474550.92	842.50
889473933.90	853.50
890473356.87	840.50
891472767.83	1483.12
892472166.81	869.49
894470982.75	845.50
895470411.71	839.50
896469808.68	867.49
897469232.65	834.51
898468622.63	864.49
899468046.59	1234.27
901466858.53	845.50
902466267.50	870.49
