num_tokens,time_stamp
6,1773747358647
3,1773747358647
5,1773747358648
4,1773747358648
4,1773747358648
1,1773747358648
6,1773747358649
2,1773747358649
4,1773747358649
3,1773747358705
1,1773747358706
4,1773747358706
1,1773747358706
7,1773747358706
7,1773747358706
8,1773747358707
1,1773747358707
3,1773747358707
2,1773747358707
1,1773747358707
1,1773747358708
3,1773747358708
1,1773747358708
4,1773747358765
4,1773747358765
1,1773747358765
3,1773747358765
1,1773747358766
1,1773747358766
8,1773747358766
5,1773747358766
2,1773747358766
4,1773747358766
3,1773747358767
1,1773747358767
2,1773747358768
1,1773747358768
1,1773747358817
1,1773747358822
2,1773747358822
3,1773747358823
4,1773747358824
7,1773747358825
5,1773747358825
10,1773747358825
2,1773747358825
1,1773747358825
1,1773747358826
3,1773747358826
2,1773747358826
1,1773747358827
4,1773747358883
5,1773747358883
1,1773747358883
3,1773747358884
11,1773747358884
1,1773747358884
1,1773747358885
2,1773747358885
3,1773747358885
1,1773747358885
3,1773747358885
2,1773747358885
1,1773747358885
3,1773747358887
2,1773747358887
3,1773747358945
1,1773747358945
1,1773747358946
1,1773747358946
11,1773747358947
7,1773747358947
4,1773747358947
1,1773747358947
1,1773747358947
1,1773747358947
3,1773747358948
5,1773747358948
1,1773747358948
1,1773747358951
1,1773747358951
3,1773747359011
4,1773747359012
5,1773747359012
1,1773747359012
2,1773747359012
6,1773747359013
1,1773747359013
2,1773747359013
2,1773747359013
1,1773747359014
1,1773747359014
3,1773747359015
3,1773747359015
2,1773747359068
3,1773747359068
2,1773747359068
2,1773747359068
3,1773747359068
8,1773747359068
1,1773747359069
3,1773747359069
2,1773747359069
1,1773747359070
1,1773747359070
1,1773747359070
3,1773747359070
1,1773747359071
2,1773747359071
2,1773747359127
4,1773747359127
1,1773747359127
1,1773747359127
1,1773747359128
1,1773747359129
10,1773747359129
2,1773747359130
4,1773747359130
4,1773747359130
6,1773747359130
1,1773747359130
1,1773747359131
4,1773747359186
2,1773747359186
1,1773747359186
1,1773747359187
9,1773747359187
1,1773747359188
1,1773747359188
3,1773747359188
1,1773747359190
2,1773747359239
3,1773747359239
4,1773747359240
2,1773747359240
1,1773747359240
1,1773747359240
1,1773747359240
1,1773747359240
1,1773747359240
4,1773747359240
2,1773747359241
2,1773747359242
2,1773747359242
1,1773747359242
2,1773747359242
5,1773747359297
4,1773747359298
1,1773747359298
2,1773747359298
3,1773747359300
1,1773747359300
2,1773747359301
1,1773747359301
4,1773747359301
1,1773747359301
4,1773747359301
1,1773747359302
1,1773747359303
2,1773747359354
3,1773747359355
3,1773747359356
2,1773747359356
1,1773747359356
2,1773747359357
10,1773747359357
2,1773747359358
1,1773747359358
1,1773747359359
2,1773747359363
2,1773747359366
2,1773747359405
2,1773747359411
2,1773747359411
1,1773747359412
2,1773747359412
6,1773747359412
3,1773747359412
1,1773747359413
1,1773747359413
1,1773747359413
1,1773747359415
1,1773747359416
1,1773747359422
1,1773747359440
4,1773747359468
1,1773747359468
1,1773747359468
1,1773747359468
2,1773747359469
1,1773747359469
4,1773747359469
3,1773747359470
1,1773747359471
1,1773747359478
2,1773747359479
1,1773747359516
6,1773747359517
3,1773747359518
1,1773747359518
5,1773747359519
1,1773747359519
1,1773747359519
2,1773747359520
4,1773747359520
1,1773747359520
3,1773747359572
2,1773747359573
3,1773747359574
7,1773747359574
6,1773747359574
3,1773747359574
7,1773747359574
1,1773747359575
1,1773747359575
1,1773747359575
4,1773747359629
2,1773747359629
1,1773747359630
1,1773747359630
6,1773747359631
2,1773747359631
1,1773747359631
1,1773747359632
2,1773747359632
3,1773747359632
2,1773747359632
2,1773747359632
1,1773747359633
2,1773747359633
