batch_size,avg_time_ms
719,0.057951
720,0.057938
721,0.057915
722,0.057884
723,0.057933
724,0.057917
725,0.057933
726,0.057940
727,0.057917
728,0.057915
729,0.057930
730,0.057943
731,0.057938
732,0.057958
733,0.057925
734,0.057925
735,0.057917
736,0.057951
737,0.057935
738,0.057951
739,0.057956
740,0.057953
741,0.057958
742,0.057956
743,0.057976
744,0.057956
745,0.057979
746,0.057951
747,0.057976
748,0.057976
749,0.057961
750,0.057940
751,0.057971
752,0.057999
753,0.057974
754,0.057997
755,0.057969
756,0.057984
757,0.057956
758,0.057994
759,0.057969
760,0.057987
761,0.057943
762,0.057956
763,0.057971
764,0.057987
765,0.058002
766,0.057971
767,0.057981
768,0.058017
769,0.067085
770,0.067072
771,0.067087
772,0.067080
773,0.067072
774,0.067100
775,0.067126
776,0.067113
777,0.067162
778,0.067144
779,0.067103
780,0.067146
781,0.067149
782,0.067139
783,0.067144
784,0.067146
785,0.067123
786,0.067133
787,0.067123
788,0.067141
789,0.067149
790,0.067146
791,0.067159
792,0.067126
793,0.067131
794,0.067146
795,0.067131
796,0.067128
797,0.067151
798,0.067167
799,0.067172
800,0.067133
801,0.067172
802,0.067146
803,0.067167
804,0.067167
805,0.067146
806,0.067185
807,0.067192
808,0.067185
809,0.067192
810,0.067195
811,0.067195
812,0.067200
813,0.067528
814,0.067231
815,0.067190
816,0.067218
817,0.067215
818,0.067195
819,0.067210
820,0.067218
821,0.067208
822,0.067203
823,0.067223
824,0.067208
825,0.067228
826,0.067218
827,0.067231
828,0.067195
829,0.067231
830,0.067215
831,0.067215
832,0.067228
833,0.067220
834,0.067205
835,0.067187
836,0.067220
837,0.067228
838,0.067218
839,0.067210
840,0.067226
841,0.067215
842,0.067244
843,0.067246
844,0.067226
845,0.067264
846,0.067256
847,0.067295
848,0.067274
849,0.067290
850,0.067279
851,0.067264
852,0.067290
853,0.067300
854,0.067313
855,0.067333
856,0.067333
857,0.067300
858,0.067284
859,0.067313
860,0.067290
861,0.067308
862,0.067325
863,0.067313
864,0.067566
865,0.067287
866,0.067310
867,0.067315
868,0.067331
869,0.067333
870,0.067323
871,0.067336
872,0.067338
873,0.067346
874,0.067341
875,0.067369
876,0.067351
877,0.067351
878,0.067323
879,0.067366
880,0.067343
881,0.067382
882,0.067387
883,0.067346
884,0.067402
885,0.067400
886,0.067397
887,0.067387
888,0.067397
889,0.067384
890,0.067392
891,0.067530
892,0.067387
893,0.067428
894,0.067436
895,0.067430
896,0.067400
897,0.076516
898,0.076534
899,0.076539
900,0.076531
901,0.076547
902,0.076534
903,0.076531
904,0.076521
905,0.076559
906,0.076547
907,0.076867
908,0.076554
909,0.076562
910,0.076600
911,0.076580
912,0.076580
913,0.076593
914,0.077071
915,0.076603
916,0.076590
917,0.076820
918,0.076585
919,0.076580
920,0.076611
921,0.076608
922,0.076603
923,0.076644
924,0.076641
925,0.076626
926,0.076618
927,0.076628
928,0.076608
929,0.076628
930,0.076626
931,0.076636
932,0.076621
933,0.076659
934,0.076649
935,0.076636
936,0.076659
937,0.076634
938,0.076664
939,0.076626
940,0.076680
941,0.076672
942,0.076639
943,0.076631
944,0.076654
945,0.076646
946,0.076682
947,0.076669
948,0.076664
949,0.076690
950,0.076669
951,0.076664
952,0.076669
953,0.076708
954,0.076675
955,0.076680
956,0.076636
957,0.076680
958,0.076718
959,0.076700
960,0.076695
961,0.076654
962,0.076685
963,0.076680
964,0.076703
965,0.076943
966,0.076682
967,0.076675
968,0.076690
969,0.076685
970,0.076692
971,0.076605
972,0.076797
973,0.076723
974,0.076708
975,0.076736
976,0.076554
977,0.076736
978,0.076744
979,0.076782
980,0.076762
981,0.076797
982,0.076746
983,0.076613
984,0.076774
985,0.076808
986,0.076820
987,0.077064
988,0.077228
989,0.076636
990,0.076810
991,0.076769
992,0.076846
993,0.077082
994,0.076590
995,0.076810
996,0.076810
997,0.076815
998,0.076856
999,0.076859
1000,0.076810
1001,0.076823
1002,0.076820
1003,0.076879
1004,0.076826
1005,0.076856
1006,0.076628
1007,0.076826
1008,0.076782
1009,0.076936
1010,0.076838
1011,0.076838
1012,0.076859
1013,0.076987
1014,0.076941
1015,0.076854
1016,0.076897
1017,0.076828
1018,0.076882
1019,0.076828
1020,0.076844
1021,0.077048
1022,0.076961
1023,0.076913
1024,0.076872
