batch_size,avg_time_ms
143,0.101335
144,0.101407
145,0.101847
146,0.101908
147,0.104202
148,0.103342
149,0.102134
150,0.102164
151,0.102103
152,0.102349
153,0.102339
154,0.102277
155,0.102287
156,0.102298
157,0.102410
158,0.102410
159,0.102369
160,0.102461
161,0.102615
162,0.102625
163,0.102687
164,0.102646
165,0.102666
166,0.102707
167,0.102687
168,0.102646
169,0.104745
170,0.102738
171,0.102676
172,0.104899
173,0.103025
174,0.102892
175,0.102861
176,0.102994
177,0.103127
178,0.103025
179,0.102922
180,0.103281
181,0.105226
182,0.103270
183,0.103240
184,0.103526
185,0.103485
186,0.103485
187,0.103383
188,0.103680
189,0.103619
190,0.103608
191,0.103578
192,0.103762
193,0.103660
194,0.103690
195,0.103741
196,0.103823
197,0.103905
198,0.103782
199,0.103721
200,0.103926
201,0.103854
202,0.103926
203,0.103926
204,0.103956
205,0.104008
206,0.104038
207,0.104018
208,0.104110
209,0.104622
210,0.104407
211,0.104704
212,0.104745
213,0.104837
214,0.104899
215,0.104806
216,0.104940
217,0.105032
218,0.104960
219,0.104786
220,0.105134
221,0.105144
222,0.105431
223,0.105472
224,0.105441
225,0.105359
226,0.105155
227,0.105288
228,0.105421
229,0.105441
230,0.105421
231,0.105431
232,0.105769
233,0.105544
234,0.105728
235,0.105748
236,0.105718
237,0.105902
238,0.105830
239,0.105810
240,0.105943
241,0.106250
242,0.109496
243,0.106312
244,0.106557
245,0.106445
246,0.106465
247,0.106455
248,0.106803
249,0.106711
250,0.106609
251,0.111841
252,0.106988
253,0.106957
254,0.106854
255,0.106772
256,0.107039
257,0.170547
258,0.170609
259,0.170721
260,0.174725
261,0.170619
262,0.170680
263,0.170650
264,0.170752
265,0.170803
266,0.172186
267,0.170947
268,0.170957
269,0.171008
270,0.170967
271,0.170895
272,0.171151
273,0.170906
274,0.171162
275,0.170998
276,0.171049
277,0.171018
278,0.171162
279,0.171274
280,0.171090
281,0.171305
282,0.171459
283,0.171274
284,0.171428
285,0.171540
286,0.171264
287,0.171520
288,0.171407
289,0.171622
290,0.171530
291,0.171571
292,0.171704
293,0.171735
294,0.171776
295,0.171878
296,0.171950
297,0.171899
298,0.174705
299,0.172012
300,0.171725
301,0.171960
302,0.171991
303,0.173076
304,0.172012
305,0.172339
306,0.172308
307,0.172401
308,0.172339
309,0.172390
310,0.172308
311,0.172493
312,0.172247
313,0.172544
314,0.172298
315,0.172575
316,0.172442
317,0.172708
318,0.172595
319,0.172780
320,0.172810
321,0.172749
322,0.172800
323,0.172790
324,0.172718
325,0.172892
326,0.172687
327,0.172913
328,0.172913
329,0.173230
330,0.173066
331,0.173128
332,0.173138
333,0.173107
334,0.173005
335,0.173148
336,0.173220
337,0.173076
338,0.173292
339,0.173302
340,0.173394
341,0.173404
342,0.173476
343,0.173588
344,0.173558
345,0.173476
346,0.173537
347,0.173517
348,0.173588
349,0.173588
350,0.173722
351,0.173640
352,0.173834
353,0.173773
354,0.175555
355,0.173711
356,0.173681
357,0.173691
358,0.173752
359,0.175708
360,0.173844
361,0.173957
362,0.173875
363,0.174039
364,0.173988
365,0.174080
366,0.173957
367,0.174162
368,0.174060
369,0.174223
370,0.174193
371,0.174397
372,0.174275
373,0.174438
374,0.174336
375,0.174633
376,0.174541
377,0.174684
378,0.174449
379,0.174623
380,0.174469
381,0.174705
382,0.174602
383,0.174879
384,0.174623
385,0.193987
386,0.193864
387,0.194427
388,0.193874
389,0.194447
390,0.193915
391,0.194089
392,0.196854
393,0.193772
394,0.194099
395,0.194243
396,0.194662
397,0.196250
398,0.195052
399,0.194714
400,0.194028
401,0.194417
402,0.194765
403,0.195021
404,0.194437
405,0.194642
406,0.194458
407,0.194601
408,0.194816
409,0.194734
410,0.194202
411,0.194929
412,0.194836
413,0.194990
414,0.195021
415,0.195338
416,0.197079
417,0.189645
418,0.189716
419,0.189757
420,0.189614
421,0.189563
422,0.191754
423,0.189788
424,0.189757
425,0.189768
426,0.189829
427,0.192328
428,0.189901
429,0.190013
430,0.190095
431,0.190024
432,0.192154
433,0.190331
434,0.190321
435,0.190362
436,0.190444
437,0.190392
438,0.190433
439,0.190577
440,0.190577
441,0.190607
442,0.190607
443,0.190710
444,0.190761
445,0.190751
446,0.190812
447,0.190904
448,0.190863
449,0.190781
450,0.190894
451,0.190874
452,0.191109
453,0.190986
454,0.191181
455,0.191119
456,0.191099
457,0.191130
458,0.191099
459,0.191263
460,0.191191
461,0.191160
462,0.191324
463,0.193423
464,0.191242
465,0.191416
466,0.191293
467,0.191406
468,0.193946
469,0.191386
470,0.191468
471,0.191724
472,0.191590
473,0.193106
474,0.191642
475,0.191601
476,0.191724
477,0.191816
478,0.191775
479,0.191764
480,0.191744
481,0.191764
482,0.191867
483,0.191898
484,0.191908
485,0.191846
486,0.191928
487,0.192072
488,0.192051
489,0.192205
490,0.192195
491,0.192174
492,0.192256
493,0.192195
494,0.192225
495,0.192379
496,0.192410
497,0.192451
498,0.192440
499,0.192614
500,0.192512
501,0.192584
502,0.192696
503,0.192686
504,0.192614
505,0.192696
506,0.192758
507,0.194386
508,0.192727
509,0.192707
510,0.192891
511,0.192963
512,0.193679
