# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: dp-esb74
# Release : 4.18.0-348.23.1.el8_5.x86_64
# Version : #1 SMP Wed Apr 27 15:32:52 UTC 2022
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 82.995429 
# Number of iterations (recorded+unrecorded): 1464490803 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
450012251.93	5381.70
451012223.85	4826.73
452012155.79	5373.70
453012135.72	5574.69
454012069.65	5151.72
455011985.58	4916.73
456011924.51	5747.68
457011882.44	5656.69
458011825.37	5748.68
459011784.30	5041.72
460011727.23	5331.71
461011652.17	5453.70
462011592.10	5295.71
463011558.03	5027.72
464011492.96	5350.71
465011455.89	6078.67
466011413.82	5710.69
467011321.75	4952.73
468011279.68	5272.71
469011214.61	5379.70
470011159.55	5227.71
470144446.21	1913.89
471011132.47	5398.70
472011076.41	5959.67
473011046.34	5929.67
474010936.27	5684.69
475010878.20	4865.73
476010831.13	5464.70
477010799.06	5475.70
478010738.99	5450.70
479010689.92	4940.73
480010614.86	5837.68
481010562.79	5524.70
482010512.72	5567.69
483010457.65	5039.72
484010403.58	5618.69
485010371.51	5642.69
486010289.44	6164.66
487010245.37	4875.73
488010192.30	5815.68
489010134.23	5526.70
490010100.16	5545.69
491010049.09	4713.74
492009944.03	5096.72
493009915.96	5811.68
494009835.89	5210.71
495009796.82	4996.72
496009761.75	5605.69
497009703.68	5607.69
498009609.61	5360.70
499009582.54	4709.74
500009531.48	6201.66
501009466.41	5633.69
502009413.34	5200.71
503009360.27	5001.72
504009297.20	5640.69
505009230.13	5488.70
506009177.06	5355.71
507009151.99	4779.74
508009087.92	5211.71
509009039.85	5490.70
510008956.79	5249.71
511008918.72	4870.73
512008849.65	5342.71
513008813.58	5767.68
513014664.26	1657.91
514008770.51	5601.69
515008709.44	4794.74
516008612.37	5075.72
517008574.30	5627.69
518008543.23	5419.70
519008468.17	5326.71
520008440.10	5120.72
521008381.03	5628.69
522008343.96	5434.70
523008259.89	4737.74
524008198.82	5455.70
525008160.75	5547.69
526008113.68	5337.71
527008050.61	5071.72
528007962.55	5353.71
529007900.48	5668.69
530007878.41	5625.69
531007825.34	4779.74
532007769.27	5179.71
533007732.20	5636.69
534007685.13	5125.72
535007591.06	5361.70
536007524.99	5326.71
537007486.92	5742.68
538007448.85	5692.69
539007403.78	4728.74
540007304.72	5172.72
