# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: ip-0A020006
# Release : 3.10.0-1127.19.1.el7.x86_64
# Version : #1 SMP Tue Aug 25 17:23:54 UTC 2020
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 98.992110 
# Number of iterations (recorded+unrecorded): 1099459655 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
382969552.33	8301.34
383969431.64	5200.59
384969510.93	5099.59
385969190.26	5200.59
386969169.56	5200.59
387969047.87	5201.59
388969127.16	5201.59
389969106.46	5201.59
390968886.78	8700.31
391968766.09	8400.33
392092863.20	1200.90
392968645.40	5200.59
393968623.70	5201.59
394968502.01	5202.59
395968481.31	5302.58
396968460.61	19801.42
397968340.92	8501.32
398968320.22	5200.59
399968099.54	5300.58
400968178.84	5200.59
401968058.15	8701.31
402093554.14	1101.91
402967837.46	5200.59
403967916.76	5300.58
404967796.07	5200.59
405967675.38	5199.59
406967554.69	5200.59
407967533.99	5300.58
408967412.30	5301.58
409967292.61	5600.55
410967270.91	5301.58
411967250.21	5201.59
412094147.10	1101.91
412967029.53	5101.59
413967008.83	5301.58
414966887.14	5302.58
415966866.44	5201.59
416966746.75	5200.59
417966626.06	5200.59
418966705.35	5200.59
419966484.67	5200.59
420966463.97	5300.58
421966343.28	5200.59
422094740.05	1200.90
422966222.59	5200.59
423966201.89	5200.59
424966081.20	5700.55
425966160.50	5300.58
426966039.81	5299.58
427966018.11	5400.57
428965897.42	5201.59
429965676.74	5201.59
430965656.04	9101.27
431965635.34	5201.59
432095432.99	1200.90
432965614.64	5201.59
433965393.96	5200.59
434965272.27	5201.59
435965452.55	8901.29
436965130.88	5301.58
437965210.17	8101.35
438965090.48	5300.58
439964969.79	5200.59
440964849.10	5200.59
441964828.40	8100.35
442096123.94	1201.90
442964707.71	5200.59
443964687.01	5200.59
444964565.32	5201.59
445964444.63	5200.59
446964323.94	5200.59
447964403.24	5101.59
448964182.55	8201.35
449964261.85	5201.59
450964041.17	5300.58
451963920.48	8701.31
452096817.88	1400.89
452963899.78	5199.59
453963879.08	5199.59
454963858.38	5199.59
455963636.70	5301.58
456586924.02	2301.82
456963616.00	5501.56
456969216.55	8601.31
457963496.31	5400.57
458963475.61	5200.59
459963354.92	19800.42
460963234.23	8800.30
461963213.53	5600.55
462097509.83	1301.90
462963090.84	5102.59
463962970.15	5302.58
464963049.44	5202.59
465962829.76	5200.59
466962809.06	5200.59
467962788.37	5200.59
468962567.68	5200.59
469962546.99	5200.59
470962526.29	5200.59
471962505.59	5100.59
472098202.77	1200.90
472962384.90	5200.59
473962264.21	5199.59
474962143.52	5299.58
475962021.83	5301.58
476962101.12	5201.59
477961881.44	5200.59
478961860.74	5200.59
479961939.03	5201.59
480961618.36	5201.59
481961597.66	5101.59
482098894.72	1101.91
482961475.97	5202.59
483961555.26	5202.59
484961335.58	5200.59
485961214.89	5200.59
486961194.19	5100.59
487961173.49	5200.59
488961252.79	5200.59
489960932.11	5300.58
490960811.42	5200.59
491960990.71	8300.34
492099587.66	1200.90
492960770.03	8000.36
493960649.34	5300.58
494960728.63	5200.59
495960507.95	5200.59
496960386.26	5200.59
497960264.57	5202.59
498960344.86	5200.59
499960124.18	5200.59
500960103.48	5200.59
501959982.79	8301.34
502100178.62	1202.90
502959962.09	5099.59
503959941.39	5200.59
504959720.71	5200.59
505959700.01	8899.29
506959578.32	6801.46
507959458.63	5299.58
508959536.92	5200.59
509959316.24	5301.58
510959396.54	5200.59
511959175.85	5200.59
512100872.56	1299.90
512959055.16	5200.59
513959133.46	5301.58
514958912.77	5200.59
515958892.08	5200.59
516958770.39	5301.58
517958749.69	5202.59
518958630.00	5200.59
519958509.31	5200.59
520958488.61	5200.59
521958467.91	5099.59
522101564.51	1200.90
522958547.20	17799.58
523958226.53	8499.32
524958104.84	5301.58
525958084.14	5301.58
526958164.43	5200.59
527957943.75	5200.59
528957822.06	5200.59
529957702.37	5200.59
530957680.67	8600.31
531957659.97	5101.59
532102257.45	1299.90
532957538.28	5202.59
533957418.59	5200.59
534957397.90	5301.58
535957377.20	5301.58
536957156.51	5300.58
537957135.82	5200.59
538956915.13	5300.58
539957094.42	5300.58
540956973.73	5200.59
541956853.04	8200.35
542102949.39	1201.90
542956832.34	5200.59
543956811.64	5200.59
544956790.94	5300.58
545956470.27	5200.59
546956449.57	5200.59
547956328.88	8200.35
548956207.19	8501.32
549956186.49	5300.58
550956165.79	5201.59
551956145.10	8401.33
552103642.34	1300.90
552955924.41	5201.59
553955903.71	5200.59
554955883.02	5200.59
555955662.33	5200.59
556716646.68	2100.83
556955641.64	5400.57
