# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 3.500000 6.100000 35.901000 1.750000 0.100111 0.233556 -nan -nan -nan
18433 10 12.400000 31.702000 131.407000 1.750000 0.823000 2.322889 0.258766 0.000090 0.121244
19457 10 13.900000 32.902000 146.207000 1.750000 0.800778 2.378444 0.250821 0.000092 0.119465
20481 10 13.700000 33.901000 144.707000 1.750000 0.856333 2.456222 0.241382 0.000093 0.118705
21505 10 14.300000 34.201000 150.408000 1.750000 0.823111 2.534222 0.244100 0.000093 0.115911
22529 10 14.200000 35.001000 149.908000 1.750000 0.878667 2.634222 0.245894 0.000093 0.113215
23553 10 14.501000 35.801000 153.209000 1.750000 0.911000 2.633222 0.250225 0.000092 0.111215
24577 10 14.600000 36.102000 154.409000 1.750000 0.934333 2.712000 0.258828 0.000091 0.111249
25601 10 15.101000 38.702000 161.709000 1.750000 1.188778 2.966556 0.256301 0.000091 0.109130
26625 10 15.101000 39.603000 161.909000 1.750000 1.211000 3.044222 0.253767 0.000091 0.107161
27649 10 15.300000 40.602000 164.009000 1.750000 1.223222 3.089778 0.251963 0.000092 0.105205
28673 10 15.601000 41.302000 167.009000 1.750000 1.222111 3.177667 0.253528 0.000092 0.103338
29697 10 15.700000 42.201000 168.109000 1.750000 1.234333 3.234333 0.255138 0.000091 0.101585
30721 10 15.901000 42.802000 170.110000 1.750000 1.233333 3.311000 0.259374 0.000091 0.100610
31745 10 16.100000 43.302000 172.509000 1.750000 1.278778 3.345333 0.266374 0.000090 0.101146
32769 10 16.200000 44.002000 173.809000 1.750000 1.312111 3.367556 0.273791 0.000090 0.102050
33793 10 16.500000 48.001000 177.409000 1.750000 1.378778 3.756444 0.262999 0.000091 0.105855
34817 10 17.001000 48.703000 182.610000 1.750000 1.400000 3.888778 0.257358 0.000091 0.105729
35841 10 17.000000 49.702000 183.809000 1.750000 1.534333 3.923222 0.251548 0.000092 0.105783
36865 10 17.101000 50.702000 184.910000 1.750000 1.544444 4.000111 0.246179 0.000092 0.105679
37889 10 17.401000 51.703000 188.010000 1.750000 1.555556 4.088778 0.242276 0.000092 0.104971
38913 10 17.500000 51.903000 189.010000 1.750000 1.556667 4.134444 0.242801 0.000092 0.103558
39937 10 17.700000 52.802000 191.710000 1.750000 1.634444 4.189889 0.244042 0.000092 0.102269
40961 10 17.500000 53.102000 190.310000 1.750000 1.701111 4.123222 0.246896 0.000092 0.101405
41985 10 18.201000 55.603000 198.511000 1.750000 1.833444 4.433444 0.244736 0.000092 0.100399
43009 10 18.300000 56.503000 199.512000 1.750000 1.834667 4.523444 0.243046 0.000092 0.099337
44033 10 18.701000 57.504000 204.011000 1.750000 1.889000 4.622333 0.242719 0.000092 0.098154
45057 10 18.201000 58.703000 199.512000 1.750000 1.944667 4.666778 0.238508 0.000093 0.098125
46081 10 18.801000 59.804000 205.311000 1.750000 1.922333 4.800111 0.236328 0.000093 0.097311
47105 10 19.100000 60.203000 207.611000 1.750000 1.845667 4.823333 0.237714 0.000093 0.096351
48129 10 19.200000 61.203000 209.512000 1.750000 1.945778 4.879111 0.238758 0.000093 0.095373
49153 10 19.201000 61.002000 209.611000 1.750000 1.955667 4.866778 0.244195 0.000092 0.096415
50177 10 19.900000 64.904000 217.811000 1.750000 2.090111 5.179000 0.239262 0.000092 0.097119
51201 10 20.101000 65.903000 219.513000 1.750000 2.055889 5.333667 0.235020 0.000093 0.097407
52225 10 20.300000 67.004000 221.012000 1.750000 2.001333 5.212444 0.230980 0.000093 0.097609
53249 10 20.401000 67.503000 224.312000 1.750000 2.255778 5.466889 0.229126 0.000093 0.096902
54273 10 20.302000 68.403000 224.614000 1.750000 2.399333 5.677000 0.226888 0.000093 0.096344
55297 10 20.801000 69.504000 227.612000 1.750000 2.178000 5.600222 0.225830 0.000093 0.095518
56321 10 20.800000 69.503000 228.314000 1.750000 2.257111 5.645778 0.228095 0.000093 0.095036
57345 10 20.901000 70.503000 229.813000 1.750000 2.311444 5.644667 0.230017 0.000093 0.094468
58369 10 21.300000 72.903000 236.713000 1.750000 2.634778 5.501333 0.227619 0.000093 0.094097
59393 10 20.700000 73.603000 230.713000 1.750000 2.634778 5.945778 0.223839 0.000093 0.094470
60417 10 21.201000 74.204000 235.513000 1.750000 2.611444 6.066889 0.223042 0.000093 0.093707
61441 10 21.800000 75.004000 241.314000 1.750000 2.590444 6.090222 0.224596 0.000093 0.093121
62465 10 21.800000 76.004000 241.514000 1.750000 2.612667 6.190222 0.225551 0.000093 0.092423
63489 10 22.100000 76.705000 244.513000 1.750000 2.612556 6.268111 0.227973 0.000093 0.092198
64513 10 22.201000 77.504000 245.714000 1.750000 2.633778 6.300444 0.230744 0.000093 0.092164
65537 10 21.401000 78.204000 239.013000 1.750000 2.778111 6.355889 0.231209 0.000093 0.091450
66561 10 23.200000 82.205000 256.915000 1.750000 2.768333 6.723667 0.227315 0.000093 0.092187
67585 10 23.201000 83.005000 257.715000 1.750000 2.856111 6.811667 0.223893 0.000093 0.092607
68609 10 23.501000 84.205000 261.014000 1.750000 2.889333 6.911667 0.220591 0.000093 0.092967
69633 10 23.900000 84.704000 263.716000 1.750000 2.746222 6.934778 0.219871 0.000094 0.092322
70657 10 23.801000 86.005000 264.214000 1.750000 2.911556 7.100556 0.217564 0.000094 0.092177
71681 10 23.900000 86.804000 265.616000 1.750000 2.957333 7.123667 0.215903 0.000094 0.091789
72705 10 24.000000 87.204000 266.016000 1.750000 2.890667 7.035000 0.216023 0.000094 0.091133
73729 10 23.901000 87.504000 266.114000 1.750000 3.011556 7.244889 0.217490 0.000094 0.090718
74753 10 24.601000 89.806000 274.715000 1.750000 3.189444 7.411778 0.216730 0.000094 0.090149
75777 10 25.001000 90.804000 279.017000 1.750000 3.223000 7.500556 0.216774 0.000094 0.089529
76801 10 24.702000 91.305000 276.316000 1.750000 3.255111 7.621778 0.216992 0.000094 0.088928
77825 10 25.200000 92.104000 280.715000 1.750000 3.190556 7.612778 0.218756 0.000094 0.088689
78849 10 25.201000 92.806000 280.017000 1.750000 3.111889 7.733889 0.220851 0.000093 0.088614
79873 10 25.300000 93.804000 282.416000 1.750000 3.268444 7.635000 0.222716 0.000093 0.088446
80897 10 25.200000 94.305000 281.717000 1.750000 3.301889 7.812778 0.225162 0.000093 0.088591
81921 10 25.501000 94.804000 284.616000 1.750000 3.289556 7.878444 0.229210 0.000093 0.089988
82945 10 26.200000 99.505000 292.616000 1.750000 3.401778 8.290444 0.224806 0.000093 0.091729
83969 10 26.500000 100.406000 296.416000 1.750000 3.490667 8.246111 0.221331 0.000093 0.092592
84993 10 26.402000 101.306000 296.517000 1.750000 3.610778 8.488556 0.217710 0.000094 0.093583
86017 10 26.400000 102.906000 295.417000 1.750000 3.490778 8.501667 0.212431 0.000094 0.096297
87041 10 27.002000 103.206000 302.517000 1.750000 3.610778 8.677556 0.210362 0.000094 0.096224
88065 10 26.902000 104.305000 302.518000 1.750000 3.722000 8.755333 0.207586 0.000094 0.096570
