# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: queue1-dy-c5nmetal-1
# Release : 4.14.262-200.489.amzn2.x86_64
# Version : #1 SMP Fri Feb 4 20:34:30 UTC 2022
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 71.994938 
# Number of iterations (recorded+unrecorded): 5114260034 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
2322610348.33	1538.89
2326610044.09	1530.89
2330609792.84	1524.89
2334609482.60	2739.81
2334665521.66	16082.87
2336805641.17	12158.15
2338609189.36	1713.88
2342608927.11	2380.83
2346608625.87	1547.89
2350608378.62	1533.89
2354608065.38	1530.89
2358607814.13	1526.89
2362607497.89	1539.89
2363843675.97	16042.87
2365987645.21	12160.14
2366607230.65	1629.89
2370606958.40	1520.89
2374026469.95	16057.87
2374606692.16	1782.87
2376167178.43	12147.15
2378606373.91	1721.88
2382606111.67	3287.77
2386605817.43	3112.78
2390605568.18	3182.78
2394605257.94	3705.74
2398604967.69	2531.82
2402604697.45	1543.89
2402606313.33	2978.79
2406604390.21	1657.88
2410604130.96	1550.89
2414603838.72	1541.89
2418603598.47	1542.89
2422603294.23	1523.89
2426603036.98	1533.89
2430602725.74	1523.89
2434602467.49	1528.89
2438602170.25	1520.89
2442601908.00	1522.89
2446601618.76	2735.81
2450601337.52	300010.90
2454601031.27	2014.86
2458600753.03	1548.89
2462600489.78	1539.89
2463238274.94	16041.87
2465380113.33	11982.16
2466600172.54	1902.87
2470599932.30	2684.81
2474420630.64	16075.87
2474599623.05	2521.82
2476562197.05	12099.15
2478599369.81	1733.88
2482599050.57	1560.89
2486598814.32	1526.89
2490598499.08	1709.88
2494598253.83	1526.89
2498597953.59	1520.89
2502597681.34	2911.80
2506597382.10	1530.89
2510597130.85	1530.89
2514596812.61	1550.89
2518596549.37	1543.89
2522596268.12	1521.89
2526596006.88	1527.89
2527599884.29	16086.87
2529741767.68	12096.15
2530595695.63	1724.88
2534595415.39	1527.89
2538595147.14	1529.89
